DriverKey,EventKey,RacePosition,Points,RaceTime,Status,GridPosition,Q1,Q2,Q3,QualiTime,QualiDiff
17,18,7.0,6.0,80.667,Finished,10.0,90.745,90.054,89.955,89.955,0.796999999999997
10,18,8.0,4.0,85.251,Finished,6.0,89.765,89.936,89.688,89.688,0.5300000000000011
14,18,9.0,2.0,93.527,Finished,9.0,90.42,90.076,89.868,89.868,0.7099999999999937
18,18,10.0,1.0,10.754,Lapped,13.0,,90.235,,90.235,1.0769999999999982
20,18,11.0,0.0,17.335,Lapped,8.0,90.214,90.016,89.846,89.846,0.6880000000000024
21,18,12.0,0.0,19.269,Lapped,13.0,90.574,90.353,,90.353,1.1949999999999932
6,18,13.0,0.0,24.49,Lapped,15.0,90.949,,,90.949,1.7909999999999968
5,18,14.0,0.0,25.32,Lapped,12.0,,90.202,,90.202,1.043999999999997
22,18,15.0,0.0,27.145,Lapped,12.0,90.681,90.32,,90.32,1.161999999999992
23,18,16.0,0.0,42.89,Lapped,16.0,90.982,,,90.982,1.823999999999998
16,18,17.0,0.0,46.753,Lapped,14.0,90.82,,,90.82,1.661999999999992
13,18,18.0,0.0,47.133,Lapped,17.0,90.989,,,90.989,1.831000000000003
11,18,19.0,0.0,47.461,Lapped,18.0,91.261,,,91.261,2.1029999999999944
7,18,20.0,0.0,49.04,Lapped,11.0,90.715,90.141,,90.141,0.9830000000000041
2,19,1.0,25.0,5640.161,Finished,1.0,93.207,92.701,92.51,92.51,0.0
1,19,2.0,18.0,7.959,Finished,2.0,93.843,92.876,92.801,92.801,0.2909999999999968
8,19,3.0,15.0,15.373,Finished,3.0,93.525,92.869,92.807,92.807,0.29699999999999704
10,19,4.0,12.0,28.536,Finished,5.0,93.685,92.914,92.912,92.912,0.402000000000001
9,19,5.0,10.0,29.678,Finished,6.0,93.746,93.228,93.084,93.084,0.5739999999999981
3,19,6.0,8.0,33.456,Finished,4.0,93.311,93.058,92.826,92.826,0.3159999999999883
21,19,7.0,6.0,52.714,Finished,13.0,93.935,93.466,,93.466,0.9559999999999889
7,19,8.0,4.0,57.249,Finished,11.0,93.551,93.334,,93.334,0.8239999999999981
14,19,9.0,2.0,64.722,Finished,8.0,93.921,93.238,93.139,93.139,0.6289999999999907
17,19,10.0,1.0,70.001,Finished,10.0,93.741,93.237,93.16,93.16,0.6499999999999915
22,19,11.0,0.0,73.209,Finished,12.0,93.549,93.36,,93.36,0.8499999999999943
6,19,12.0,0.0,74.778,Finished,18.0,94.54,,,94.54,2.030000000000001
4,19,13.0,0.0,75.746,Finished,7.0,93.501,93.044,93.114,93.114,0.6039999999999992
5,19,14.0,0.0,80.0,Finished,19.0,94.69,,,94.69,2.1799999999999926
13,19,15.0,0.0,83.043,Finished,17.0,94.136,,,94.136,1.6259999999999906
20,19,16.0,0.0,92.807,Finished,20.0,,,,,
23,19,17.0,0.0,2.307,Lapped,15.0,94.039,94.044,,94.044,1.5339999999999918
16,19,18.0,0.0,3.557,Lapped,16.0,94.125,,,94.125,1.6149999999999949
11,19,19.0,0.0,6.155,Lapped,14.0,93.599,93.651,,93.651,1.1409999999999911
18,19,20.0,0.0,,Retired,9.0,93.739,93.124,93.15,93.15,0.6400000000000006
